##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	12-13	-0.2932368323965946
1103	14-15	-0.2754454228831875
1103	16-17	-0.21251956472325162
1103	18-19	-0.21509289549905475
1103	20-21	-0.16398391048893046
1103	22-23	-0.23226197393542947
1103	24-25	-0.18745130574831848
1103	26-27	-0.22409141503496954
1103	28-29	-0.22082121509427566
1103	30-31	-0.2832505500352056
1103	32-33	-0.14966877696660674
1103	34-35	-0.27583029976882756
1103	36-37	-0.30085147088035313
1103	38-39	-0.5029857823999464
1103	40-41	-0.49800214917408425
1103	42-43	-0.43577883069478673
1103	44-45	-0.27735903745939083
1103	46-47	-0.2610659007797267
1103	48-49	-0.20947088001275205
1103	50-51	-0.1633260250484696
1103	52-53	-0.23989185060460727
1103	54-55	-0.1301504874500381
1103	56-57	-0.3172273237054455
1103	58-59	-0.2822233045118594
1103	60-61	-0.1260631800357146
1103	62-63	-0.20633508967042502
1103	64-65	-0.20798006727981289
1103	66-67	-0.12683824622700257
1103	68-69	-0.1969702279435026
1103	70-71	-0.25214230137116544
1103	72-73	-0.20175499328735924
1103	74-75	-0.3005129526593393
1103	76-77	-0.32153311055649425
1103	78-79	-0.18422232665020744
1103	80-81	-0.28756093145894823
1103	82-83	-0.27563145690657365
1103	84-85	-0.266931593030705
1103	86-87	-0.306718560353886
1103	88-89	-0.4135563634334716
1103	90-91	-0.4527856287669607
1103	92-93	-0.35952510160977624
1103	94-95	-0.3769364113251541
1103	96-97	-0.43105200852062353
1103	98-99	-0.3575071477763885
1103	100-101	-0.5376304477922318
1104	1	-0.5245531704407931
1104	2	-0.6380008037757072
1104	3	-1.431468142029786
1104	4	-1.2332974382386226
1104	5	-1.1100675507213111
1104	6	-1.5083557620363734
1104	7	-1.3720518689160102
1104	8	-1.506770305071342
1104	9	-1.18245282696477
1104	10-11	-0.7861614105551382
1104	12-13	-0.33545722353825624
1104	14-15	-0.2263663952591628
1104	16-17	-0.18274965083911354
1104	18-19	-0.17198768125184927
1104	20-21	-0.1664559484703645
1104	22-23	-0.15565236131276095
1104	24-25	-0.0464832491761058
1104	26-27	-0.12036428809961564
1104	28-29	-0.17240134037202637
1104	30-31	-0.1374350595004472
1104	32-33	0.006205546810775786
1104	34-35	-0.18537440592757548
1104	36-37	-0.2313095360715849
1104	38-39	-0.4028754044432574
1104	40-41	-0.38867950024623354
1104	42-43	-0.32430259806251627
1104	44-45	-0.15839045531618012
1104	46-47	-0.08126736559402303
1104	48-49	-0.027999653191209006
1104	50-51	-0.08401764530558609
1104	52-53	-0.11255554731247486
1104	54-55	0.032958586664385336
1104	56-57	-0.16914355621710087
1104	58-59	-0.17713356962018878
1104	60-61	-0.09142139688586326
1104	62-63	-0.15602656798620274
1104	64-65	-0.20090601297537347
1104	66-67	-0.0931545121993409
1104	68-69	-0.09221171279019558
1104	70-71	-0.14497438433583199
1104	72-73	-0.11732349105648154
