##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	22-23	0.09149705307411438
1103	24-25	0.05638193314394613
1103	26-27	0.06611941317203929
1103	28-29	0.06389909628372692
1103	30-31	0.07525611077580407
1103	32-33	0.06412661467079062
1103	34-35	-3.015631417468967E-4
1103	36-37	0.019030458992638444
1103	38-39	0.03119045944789889
1103	40-41	0.022883150803693297
1103	42-43	0.032668574426914176
1103	44-45	0.10965783709409749
1103	46-47	0.08147394481904513
1103	48-49	0.05269306988336098
1103	50-51	0.01688647750321337
1103	52-53	0.0677558602572148
1103	54-55	0.04206534795524419
1103	56-57	0.05017810572400094
1103	58-59	0.046722172399590534
1103	60-61	0.03173281799260508
1103	62-63	0.09267248535579853
1103	64-65	0.078614883775046
1103	66-67	0.07696499063570883
1103	68-69	0.11131530378792576
1103	70-71	0.16040559765946938
1103	72-73	0.131369456274264
1103	74-75	0.11491297821743984
1103	76-77	0.09257036265073992
1103	78-79	0.1477135472385669
1103	80-81	0.19329413113282357
1103	82-83	0.15963581867067234
1103	84-85	0.16921129412939706
1103	86-87	0.15630089141613013
1103	88-89	0.28327408505690244
1103	90-91	0.25571786275773434
1103	92-93	0.32580906980516744
1103	94-95	0.34006005769237646
1103	96-97	0.2917924016650133
1103	98-99	0.502999031203359
1103	100-101	0.3683417647546676
1104	1	-0.2056387099403416
1104	2	-0.08295932936706052
1104	3	-0.04518893816803882
1104	4	-0.03142641503965393
1104	5	0.09916477441403515
1104	6	0.10000738076845295
1104	7	0.05717760175711106
1104	8	0.11460561151819348
1104	9	-0.01748777077310848
1104	10-11	0.027439308286425046
1104	12-13	0.03105879014459134
1104	14-15	0.0361113772025945
1104	16-17	0.040737601569880155
1104	18-19	0.06276737978505054
1104	20-21	0.0892041302619404
1104	22-23	0.05642457562901626
1104	24-25	0.04830134524406304
1104	26-27	0.0754958021431591
1104	28-29	0.05156849084566062
1104	30-31	0.06206928189177319
1104	32-33	0.064681693077695
1104	34-35	0.03997132732195752
1104	36-37	0.064287003965525
1104	38-39	0.056569952264887036
1104	40-41	0.026051840182333308
1104	42-43	0.038374244473736496
1104	44-45	0.11680889847493603
1104	46-47	0.07418102945194249
1104	48-49	0.08582584116842895
1104	50-51	0.05699428264875195
1104	52-53	0.064993898543932
1104	54-55	0.07058146758477335
1104	56-57	0.0759069429917858
1104	58-59	0.03963520012825228
1104	60-61	0.04083804387259704
1104	62-63	0.09507315858793675
1104	64-65	0.08772109342454826
1104	66-67	0.09408264946842593
1104	68-69	0.11228700579680861
1104	70-71	0.15132886564010306
1104	72-73	0.13769665686985633
1104	74-75	0.13311870258905145
1104	76-77	0.11262705736089629
1104	78-79	0.16807356243736393
1104	80-81	0.19771292220302428
1104	82-83	0.17853581750862446
1104	84-85	0.18596280586031355
1104	86-87	0.18888547030272917
1104	88-89	0.2720592851890018
1104	90-91	0.3161353260157398
1104	92-93	0.3477780918165436
1104	94-95	0.3781385878905681
1104	96-97	0.3020888283412404
1104	98-99	0.5237815938944834
1104	100-101	0.373821800809516
1105	1	-0.1909307691619908
1105	2	-0.08420975561007538
1105	3	-0.06669024958856795
1105	4	-0.0448947960093804
1105	5	0.15727923581084013
1105	6	0.10874343899743621
1105	7	0.07933004461414583
1105	8	0.12428089573219125
1105	9	0.043474837071563854
1105	10-11	0.029725847066970346
1105	12-13	0.014620136539662099
1105	14-15	0.044355302244618144
1105	16-17	0.06564048433688896
1105	18-19	0.06736562354380737
1105	20-21	0.07667726391142082
1105	22-23	0.05928442510967358
1105	24-25	0.018755613760795597
1105	26-27	0.0042440106278078815
1105	28-29	0.03758285900892844
1105	30-31	0.0613227479375027
1105	32-33	0.04549787778793757
1105	34-35	0.01882263934339079
1105	36-37	0.03827972522188361
1105	38-39	0.06138673727426891
1105	40-41	0.04371514726810233
1105	42-43	0.05541653823183168
1105	44-45	0.12045868563175333
1105	46-47	0.06826807087934839
1105	48-49	0.06984226603925947
1105	50-51	0.05019477009246742
1105	52-53	0.09936663799909695
1105	54-55	0.03499388558915939
1105	56-57	0.06396210352059484
1105	58-59	0.05281399543530796
1105	60-61	0.03457378476525719
1105	62-63	0.05587493512355479
1105	64-65	0.06627042089093038
1105	66-67	0.05239482242975413
1105	68-69	0.053681750072541945
1105	70-71	0.09569592029067309
1105	72-73	0.10649867884492181
1105	74-75	0.07896037004981338
1105	76-77	0.19235562531530803
1105	78-79	0.15849732324318921
1105	80-81	0.18618519447859683
1105	82-83	0.126777355790054
1105	84-85	0.13155502040606848
1105	86-87	0.07249604124917397
1105	88-89	0.24410242831960005
1105	90-91	0.2655779228335433
1105	92-93	0.2928634000350172
1105	94-95	0.381723896559393
1105	96-97	0.31107638826873796
1105	98-99	0.48350912710985483
1105	100-101	0.3337062899095997
1106	1	-0.22606524677554063
1106	2	-0.09429165041133203
1106	3	0.01884667087556835
1106	4	0.010582775400109767
1106	5	0.19645230443536832
1106	6	0.1567834605734859
1106	7	0.07833200275943142
1106	8	0.09555382854286165
1106	9	0.007213251031245704
1106	10-11	0.07170438200444806
1106	12-13	0.0805071629315961
1106	14-15	0.07919788244321069
1106	16-17	0.11012318357332873
1106	18-19	0.10851211996247656
1106	20-21	0.11771358731514425
1106	22-23	0.11385325608309671
1106	24-25	0.06952085192969548
1106	26-27	0.08353406770456928
1106	28-29	0.0885577765565344
1106	30-31	0.12265886088537314
1106	32-33	0.09529866659904229
1106	34-35	0.04152483163026233
1106	36-37	0.06277401964062079
1106	38-39	0.09150554658933174
1106	40-41	0.05610525732824101
1106	42-43	0.06733036847234786
1106	44-45	0.1400771042395874
1106	46-47	0.11761532829401489
1106	48-49	0.08925206776648054
1106	50-51	0.055031769899919425
1106	52-53	0.12697994873465035
1106	54-55	0.08257031379881141
1106	56-57	0.07516220969291965
1106	58-59	0.08416898285717167
1106	60-61	0.10915082437635704
1106	62-63	0.15369361075102006
1106	64-65	0.11800645192203518
1106	66-67	0.10902358006192259
1106	68-69	0.12436126099084532
1106	70-71	0.1911715446302651
1106	72-73	0.19257227974714652
1106	74-75	0.16846707981900266
1106	76-77	0.10829801954427865
1106	78-79	0.18613787065538645
1106	80-81	0.2540850540651647
1106	82-83	0.1861324705753944
1106	84-85	0.16807703719402411
1106	86-87	0.17539177272968942
1106	88-89	0.3124198716972586
1106	90-91	0.3104130866917103
1106	92-93	0.37798742433039223
1106	94-95	0.40974280024773435
1106	96-97	0.3424789828096806
1106	98-99	0.52850095221023
1106	100-101	0.4622457194719729
1107	1	-0.29084887904530277
1107	2	-0.05207496538698564
1107	3	-0.14657808032880126
1107	4	0.050011768621772035
1107	5	0.14831913841065614
1107	6	0.10190167029728059
1107	7	0.0773858074993754
1107	8	0.12437760148338839
1107	9	0.07039218176683448
1107	10-11	0.08243850229347771
1107	12-13	0.08672928132502733
1107	14-15	0.07826832696351715
1107	16-17	0.10348428647227337
1107	18-19	0.0915169912241538
1107	20-21	0.09481900710275681
1107	22-23	0.07767262875751868
1107	24-25	0.10797567779054162
1107	26-27	0.09618024737855535
1107	28-29	0.07622200771304932
1107	30-31	0.11042890652682757
1107	32-33	0.10374380841908248
1107	34-35	0.05363473754030679
1107	36-37	0.07983783653062204
1107	38-39	0.10370384210030892
1107	40-41	0.08417259747523076
1107	42-43	0.09310785254312037
1107	44-45	0.151257643840637
1107	46-47	0.13146941120270839
1107	48-49	0.10615440112739805
1107	50-51	0.10216366701031632
1107	52-53	0.14518804414651498
1107	54-55	0.11107092833820076
1107	56-57	0.10970144759259881
1107	58-59	0.1425570125412463
1107	60-61	0.13271184064505093
1107	62-63	0.1810842793493066
1107	64-65	0.144810935742413
1107	66-67	0.16607040470943701
1107	68-69	0.14004246636557838
1107	70-71	0.17540108924471554
1107	72-73	0.179168220893132
1107	74-75	0.19562691635884022
1107	76-77	0.17622928603365295
1107	78-79	0.23399877714410167
1107	80-81	0.255690126880765
1107	82-83	0.20611279998720278
1107	84-85	0.24087358556687377
1107	86-87	0.22604393430912495
1107	88-89	0.37691121605135436
1107	90-91	0.33661553232465735
1107	92-93	0.4133922941253232
1107	94-95	0.4579458386869746
1107	96-97	0.3923447018820312
1107	98-99	0.593572217891392
1107	100-101	0.4692785023678354
1108	1	-0.2580250917831428
1108	2	-0.02272555103622409
1108	3	0.04496746504099747
1108	4	0.07618695623096272
1108	5	0.13701988023997558
1108	6	0.05004633225686206
1108	7	0.1383657585167839
1108	8	0.07221056354281075
1108	9	0.07095953972689273
1108	10-11	0.0932701876742712
1108	12-13	0.10011059301955072
1108	14-15	0.06971994575417284
1108	16-17	0.12155939626416767
1108	18-19	0.07057155662620573
1108	20-21	0.1000413748846043
1108	22-23	0.11394661294672659
1108	24-25	0.10601802234572943
1108	26-27	0.13368715133939446
1108	28-29	0.09639841525549286
1108	30-31	0.1026199092534128
1108	32-33	0.10042929846890303
1108	34-35	0.08932629125701652
1108	36-37	0.09998031498726334
1108	38-39	0.08908071486877844
1108	40-41	0.09592565348652471
1108	42-43	0.08185641605133043
1108	44-45	0.1331550826032739
1108	46-47	0.10943496066878566
1108	48-49	0.07591244879078829
1108	50-51	0.07696073053920571
1108	52-53	0.11304582495044002
1108	54-55	0.1086932208891227
1108	56-57	0.0635131143982477
1108	58-59	0.09713699759388561
1108	60-61	0.09715769357586623
1108	62-63	0.159628318041257
1108	64-65	0.13844295392004824
1108	66-67	0.12663606521729065
1108	68-69	0.14041197642298897
1108	70-71	0.17001963157688493
1108	72-73	0.1732655366398177
1108	74-75	0.1817047964517826
1108	76-77	0.3117899625314351
1108	78-79	0.2600478537873272
1108	80-81	0.2456341173059826
1108	82-83	0.22286707454572507
1108	84-85	0.25803643409127375
1108	86-87	0.2019327142263947
1108	88-89	0.34898304165327687
1108	90-91	0.3532871803057489
1108	92-93	0.41200312193321054
1108	94-95	0.4360672289094154
1108	96-97	0.3932237045799667
1108	98-99	0.5633936465666096
1108	100-101	0.45279351354054853
1109	1	-0.2846299515098387
1109	2	0.0031514141698316678
1109	3	0.061180704029531796
1109	4	0.09492147060479539
1109	5	0.1821002275849679
1109	6	0.10685404998463355
1109	7	0.11000959498898055
1109	8	0.03397357528649536
1109	9	0.08306959338054298
1109	10-11	0.07119814006930625
1109	12-13	0.08282450842747835
1109	14-15	0.05482422874623438
1109	16-17	0.1032468983965984
1109	18-19	0.08734955769244834
1109	20-21	0.07875749580507119
1109	22-23	0.08659638702879846
1109	24-25	0.08118494847895619
1109	26-27	0.08429353577466969
1109	28-29	0.06718091593106834
1109	30-31	0.1053148706220739
1109	32-33	0.07863690787572608
1109	34-35	0.06121519781954987
1109	36-37	0.08760755095257622
1109	38-39	0.10469630286876708
1109	40-41	0.1058475131015939
1109	42-43	0.10135306876663464
1109	44-45	0.11409669288307356
1109	46-47	0.14222381220738356
1109	48-49	0.11244526394004595
1109	50-51	0.0988880814099673
1109	52-53	0.15022971586713396
1109	54-55	0.12491646236156839
1109	56-57	0.15345580150268745
1109	58-59	0.14342284226078306
1109	60-61	0.12908974332494694
1109	62-63	0.20154778412962315
1109	64-65	0.15704898697057956
1109	66-67	0.14211511950728095
1109	68-69	0.15276144016120696
1109	70-71	0.19887038822342618
1109	72-73	0.1423942349122811
1109	74-75	0.1477827039232551
1109	76-77	0.10774702699605854
1109	78-79	0.20098693146959334
1109	80-81	0.2598228328802321
1109	82-83	0.21981131295917322
1109	84-85	0.25834844751534547
1109	86-87	0.2453825560905898
1109	88-89	0.34680673360020364
1109	90-91	0.3279978813631601
1109	92-93	0.40126660294468053
1109	94-95	0.46576515557715226
1109	96-97	0.3557166982172788
1109	98-99	0.5707762221875399
1109	100-101	0.4678444261259145
1110	1	-0.22080130178415658
1110	2	-0.0026060809903007964
1110	3	-0.10294449455300736
1110	4	0.016136401493753283
1110	5	0.09437021395147127
1110	6	0.0939839727702605
1110	7	0.049334620524540185
1110	8	-0.05315595110402427
1110	9	0.04319833384736427
1110	10-11	0.06284077187913084
1110	12-13	0.07246120949148604
1110	14-15	0.05573703322860979
1110	16-17	0.09645243822456706
1110	18-19	0.05614696622160409
1110	20-21	0.03554409539837167
1110	22-23	0.07271556325034112
1110	24-25	0.06053041828625538
